Open time,BTCUSDT,ETHUSDT
2017-08-17 00:00:00+00:00,4285.08,302.0
2017-08-18 00:00:00+00:00,4108.37,293.96
2017-08-19 00:00:00+00:00,4139.98,290.91
2017-08-20 00:00:00+00:00,4086.29,299.1
2017-08-21 00:00:00+00:00,4016.0,323.29
2017-08-22 00:00:00+00:00,4040.0,309.8
2017-08-23 00:00:00+00:00,4114.01,315.74
2017-08-24 00:00:00+00:00,4316.01,323.42
2017-08-25 00:00:00+00:00,4280.68,327.24
2017-08-26 00:00:00+00:00,4337.44,330.79
2017-08-27 00:00:00+00:00,4310.01,348.13
2017-08-28 00:00:00+00:00,4386.69,346.0
2017-08-29 00:00:00+00:00,4587.48,374.7
2017-08-30 00:00:00+00:00,4555.14,385.93
2017-08-31 00:00:00+00:00,4724.89,384.79
2017-09-01 00:00:00+00:00,4834.91,388.46
2017-09-02 00:00:00+00:00,4472.14,343.14
2017-09-03 00:00:00+00:00,4509.08,341.77
2017-09-04 00:00:00+00:00,4100.11,283.77
2017-09-05 00:00:00+00:00,4366.47,312.09
2017-09-06 00:00:00+00:00,4619.77,335.0
2017-09-07 00:00:00+00:00,4691.61,334.49
2017-09-08 00:00:00+00:00,4282.8,302.99
2017-09-09 00:00:00+00:00,4258.81,296.74
2017-09-10 00:00:00+00:00,4130.37,293.5
2017-09-11 00:00:00+00:00,4208.47,297.3
2017-09-12 00:00:00+00:00,4163.72,293.96
2017-09-13 00:00:00+00:00,3944.69,276.91
2017-09-14 00:00:00+00:00,3189.02,215.21
2017-09-15 00:00:00+00:00,3700.0,253.0
2017-09-16 00:00:00+00:00,3714.95,249.31
2017-09-17 00:00:00+00:00,3699.99,257.55
2017-09-18 00:00:00+00:00,4035.01,294.57
2017-09-19 00:00:00+00:00,3910.04,284.0
2017-09-20 00:00:00+00:00,3900.0,282.0
2017-09-21 00:00:00+00:00,3609.99,257.0
2017-09-22 00:00:00+00:00,3595.87,264.0
2017-09-23 00:00:00+00:00,3780.0,285.93
2017-09-24 00:00:00+00:00,3660.02,282.0
2017-09-25 00:00:00+00:00,3920.75,294.42
2017-09-26 00:00:00+00:00,3882.35,287.9
2017-09-27 00:00:00+00:00,4193.0,309.74
2017-09-28 00:00:00+00:00,4174.5,302.44
2017-09-29 00:00:00+00:00,4174.69,292.22
2017-09-30 00:00:00+00:00,4378.51,304.36
2017-10-01 00:00:00+00:00,4378.48,303.95
2017-10-02 00:00:00+00:00,4380.0,296.5
2017-10-03 00:00:00+00:00,4310.0,292.48
2017-10-04 00:00:00+00:00,4208.59,291.99
2017-10-05 00:00:00+00:00,4292.43,294.81
2017-10-06 00:00:00+00:00,4369.0,310.8
2017-10-07 00:00:00+00:00,4423.0,311.01
2017-10-08 00:00:00+00:00,4640.0,311.07
2017-10-09 00:00:00+00:00,4786.95,297.19
2017-10-10 00:00:00+00:00,4783.06,298.64
2017-10-11 00:00:00+00:00,4821.43,304.01
2017-10-12 00:00:00+00:00,5430.0,303.99
2017-10-13 00:00:00+00:00,5649.98,337.96
2017-10-14 00:00:00+00:00,5869.99,342.0
2017-10-15 00:00:00+00:00,5709.99,337.96
2017-10-16 00:00:00+00:00,5760.02,335.19
2017-10-17 00:00:00+00:00,5595.0,315.19
2017-10-18 00:00:00+00:00,5512.06,309.7
2017-10-19 00:00:00+00:00,5683.9,308.66
2017-10-20 00:00:00+00:00,6010.01,304.51
2017-10-21 00:00:00+00:00,6024.97,298.94
2017-10-22 00:00:00+00:00,5950.02,293.79
2017-10-23 00:00:00+00:00,5915.93,281.09
2017-10-24 00:00:00+00:00,5477.03,297.38
2017-10-25 00:00:00+00:00,5689.99,294.49
2017-10-26 00:00:00+00:00,5861.77,294.71
2017-10-27 00:00:00+00:00,5768.83,296.33
2017-10-28 00:00:00+00:00,5719.64,291.87
2017-10-29 00:00:00+00:00,6169.98,305.0
2017-10-30 00:00:00+00:00,6120.5,307.25
2017-10-31 00:00:00+00:00,6463.0,304.9
